[363-2][455-2];6,[363-2][457-2];6,[329-2][363-2];6,[205-2][363-2];6,[111-2][414-2];5,[81-2][343-2];4.5,[180-2][561-2];4
[363-2][457-2];6,[363-2][455-2];6,[329-2][363-2];6,[205-2][363-2];6,[111-2][414-2];5,[81-2][343-2];4.5,[343-2][414-2];4
[205-2][363-2];6,[363-2][455-2];6,[363-2][457-2];6,[329-2][363-2];6,[111-2][414-2];5,[81-2][343-2];4.5,[180-2][561-2];4
[363-2][455-2];6,[329-2][363-2];6,[363-2][457-2];6,[205-2][363-2];6,[111-2][414-2];5,[81-2][343-2];4.5,[180-2][561-2];4
[363-2][455-2];6,[363-2][457-2];6,[329-2][363-2];6,[205-2][363-2];6,[111-2][414-2];5,[81-2][343-2];4.5,[180-2][561-2];4
[329-2][363-2];6,[363-2][455-2];6,[363-2][457-2];6,[205-2][363-2];6,[111-2][414-2];5,[81-2][343-2];4.5,[180-2][561-2];4
[329-2][363-2];6,[363-2][455-2];6,[205-2][363-2];6,[363-2][457-2];6,[111-2][414-2];5,[81-2][343-2];4.5,[180-2][561-2];4
[329-2][363-2];6,[205-2][363-2];6,[363-2][455-2];6,[363-2][457-2];6,[111-2][414-2];5,[81-2][343-2];4.5,[180-2][561-2];4
[363-2][455-2];6,[363-2][457-2];6,[205-2][363-2];6,[329-2][363-2];6,[111-2][414-2];5,[81-2][343-2];4.5,[304-2][363-2];4
[363-2][455-2];6,[205-2][363-2];6,[363-2][457-2];6,[329-2][363-2];6,[111-2][414-2];5,[81-2][343-2];4.5,[180-2][561-2];4
[205-2][363-2];6,[363-2][455-2];6,[363-2][457-2];6,[329-2][363-2];6,[111-2][414-2];5,[81-2][343-2];4.5,[180-2][561-2];4
[363-2][455-2];6,[111-2][414-2];5,[81-2][343-2];4.5,[180-2][561-2];4,[121-2][353-2];3,[72-2][237-2];3,[339-2][466-2];3
[363-2][455-2];6,[111-2][414-2];5,[81-2][343-2];4.5,[180-2][561-2];4,[72-2][131-2];4,[121-2][353-2];3,[72-2][237-2];3
