TimeElapsed, Max, Min, Mean, Std, Number of items., Selected: 5251.98,Top
0,129.988402311,3.53382152328,73.9059066772,1.23747200046,90,-1[149-2][264-2][320-2];5251.98097041,[32-2][320-2];129.988402311,[320-2][488-2];114.379005927,[320-2][376-2];113.931824527
0,129.988402311,3.53382152328,76.878692627,1.2849388652,86,-1[149-2][264-2][320-2];5251.98097041,[32-2][320-2];129.988402311,[320-2][488-2];114.379005927,[320-2][376-2];113.931824527
0,129.988402311,5.9604010066,81.8134307861,0.689643033605,73,-1[149-2][264-2][320-2];5251.98097041,[32-2][320-2];129.988402311,[320-2][488-2];114.379005927,[320-2][376-2];113.931824527
0,154.238904487,1.36388275111,79.0166015625,1.58332838641,95,-1[149-2][264-2][320-2];5251.98097041,[149-2][320-2];154.238904487,[32-2][320-2];129.988402311,[320-2][488-2];114.379005927
0,154.238904487,1.14404221604,80.1984634399,1.24363345313,104,-1[149-2][264-2][320-2];5251.98097041,[149-2][320-2];154.238904487,[32-2][320-2];129.988402311,[320-2][488-2];114.379005927
0,154.238904487,1.14404221604,86.4794311523,1.90684598507,89,-1[149-2][264-2][320-2];5251.98097041,[149-2][320-2];154.238904487,[32-2][320-2];129.988402311,[320-2][488-2];114.379005927
0,154.238904487,1.14404221604,88.104309082,1.20202564067,90,-1[149-2][264-2][320-2];5251.98097041,[149-2][320-2];154.238904487,[32-2][320-2];129.988402311,[320-2][488-2];114.379005927
0,154.238904487,1.14404221604,97.4691772461,1.32257053671,74,-1[149-2][264-2][320-2];5251.98097041,[149-2][320-2];154.238904487,[32-2][320-2];129.988402311,[320-2][488-2];114.379005927
0,154.238904487,8.17349173893,106.748390198,1.63677292478,59,-1[149-2][264-2][320-2];5251.98097041,[149-2][320-2];154.238904487,[32-2][320-2];129.988402311,[320-2][488-2];114.379005927
0,154.238904487,8.17349173893,107.205093384,1.15759002451,63,-1[149-2][264-2][320-2];5251.98097041,[149-2][320-2];154.238904487,[32-2][320-2];129.988402311,[320-2][488-2];114.379005927
0,154.238904487,4.80610067125,112.32660675,1.0933992023,50,-1[149-2][264-2][320-2];5251.98097041,[149-2][320-2];154.238904487,[32-2][320-2];129.988402311,[320-2][488-2];114.379005927
0,154.238904487,6.39984474861,115.805725098,1.20643306005,50,-1[149-2][264-2][320-2];5251.98097041,[149-2][320-2];154.238904487,[32-2][320-2];129.988402311,[320-2][488-2];114.379005927
0,154.238904487,2.07159950441,118.191635132,0.97127316071,45,-1[149-2][264-2][320-2];5251.98097041,[149-2][320-2];154.238904487,[32-2][320-2];129.988402311,[320-2][488-2];114.379005927
